,region,price,time,service,hist_price
36,TAS1,8.900000000372529,2019/01/27 13:45:00,raise_reg,8.95
37,VIC1,0.44999999925494194,2019/01/27 13:45:00,lower_5min,0.45
38,VIC1,0.10999999940395355,2019/01/27 13:45:00,lower_60s,0.11
39,VIC1,0.03999999910593033,2019/01/27 13:45:00,lower_6s,0.04
40,VIC1,17.280000001192093,2019/01/27 13:45:00,lower_reg,17.73
41,VIC1,10.0,2019/01/27 13:45:00,raise_5min,10.0
42,VIC1,10.26560684852302,2019/01/27 13:45:00,raise_60s,10.0
43,VIC1,10.0,2019/01/27 13:45:00,raise_6s,10.0
44,VIC1,14.255606848746538,2019/01/27 13:45:00,raise_reg,23.99
0,NSW1,156.27510279789567,2019/01/23 14:20:00,energy,162.6553
1,QLD1,139.8099999986589,2019/01/23 14:20:00,energy,144.53
2,SA1,187.89053942263126,2019/01/23 14:20:00,energy,200.4
3,TAS1,147.57879408076406,2019/01/23 14:20:00,energy,154.6089
4,VIC1,156.90395144373178,2019/01/23 14:20:00,energy,164.38843
5,NSW1,0.14000000059604645,2019/01/23 14:20:00,lower_5min,0.14
6,NSW1,0.029999999329447746,2019/01/23 14:20:00,lower_60s,0.03
7,NSW1,1.862645149230957e-09,2019/01/23 14:20:00,lower_6s,0.0
8,NSW1,3.8599999994039536,2019/01/23 14:20:00,lower_reg,4.0
9,NSW1,5.0,2019/01/23 14:20:00,raise_5min,5.0
10,NSW1,2.0,2019/01/23 14:20:00,raise_60s,2.0
11,NSW1,2.0,2019/01/23 14:20:00,raise_6s,2.0
12,NSW1,40.98999999836087,2019/01/23 14:20:00,raise_reg,45.99
13,QLD1,0.14000000059604645,2019/01/23 14:20:00,lower_5min,0.14
14,QLD1,0.029999999329447746,2019/01/23 14:20:00,lower_60s,0.03
15,QLD1,1.862645149230957e-09,2019/01/23 14:20:00,lower_6s,0.0
16,QLD1,3.8599999994039536,2019/01/23 14:20:00,lower_reg,4.0
17,QLD1,5.0,2019/01/23 14:20:00,raise_5min,5.0
18,QLD1,2.0,2019/01/23 14:20:00,raise_60s,2.0
19,QLD1,2.0,2019/01/23 14:20:00,raise_6s,2.0
20,QLD1,40.98999999836087,2019/01/23 14:20:00,raise_reg,45.99
21,SA1,0.14000000059604645,2019/01/23 14:20:00,lower_5min,0.14
22,SA1,0.029999999329447746,2019/01/23 14:20:00,lower_60s,0.03
23,SA1,1.862645149230957e-09,2019/01/23 14:20:00,lower_6s,0.0
24,SA1,3.8599999994039536,2019/01/23 14:20:00,lower_reg,4.0
25,SA1,5.0,2019/01/23 14:20:00,raise_5min,5.0
26,SA1,2.0,2019/01/23 14:20:00,raise_60s,2.0
27,SA1,2.0,2019/01/23 14:20:00,raise_6s,2.0
28,SA1,40.98999999836087,2019/01/23 14:20:00,raise_reg,45.99
29,TAS1,0.14000000059604645,2019/01/23 14:20:00,lower_5min,0.14
30,TAS1,0.029999999329447746,2019/01/23 14:20:00,lower_60s,0.03
31,TAS1,3.8599999994039536,2019/01/23 14:20:00,lower_reg,4.0
32,TAS1,5.0,2019/01/23 14:20:00,raise_5min,5.0
33,TAS1,2.0,2019/01/23 14:20:00,raise_60s,2.0
34,TAS1,2.0,2019/01/23 14:20:00,raise_6s,2.0
35,TAS1,5.0,2019/01/23 14:20:00,raise_reg,5.0
36,VIC1,0.14000000059604645,2019/01/23 14:20:00,lower_5min,0.14
37,VIC1,0.029999999329447746,2019/01/23 14:20:00,lower_60s,0.03
38,VIC1,1.862645149230957e-09,2019/01/23 14:20:00,lower_6s,0.0
39,VIC1,3.8599999994039536,2019/01/23 14:20:00,lower_reg,4.0
40,VIC1,5.0,2019/01/23 14:20:00,raise_5min,5.0
41,VIC1,2.0,2019/01/23 14:20:00,raise_60s,2.0
42,VIC1,2.0,2019/01/23 14:20:00,raise_6s,2.0
43,VIC1,40.98999999836087,2019/01/23 14:20:00,raise_reg,45.99
0,NSW1,58.0,2019/01/13 22:40:00,energy,64.0
1,QLD1,60.70981305092573,2019/01/13 22:40:00,energy,66.99014
2,SA1,85.0800000000745,2019/01/13 22:40:00,energy,78.71
3,TAS1,124.20000000111759,2019/01/13 22:40:00,energy,125.32
4,VIC1,87.5343567468226,2019/01/13 22:40:00,energy,80.92784
5,NSW1,0.0,2019/01/13 22:40:00,lower_5min,0.44
6,NSW1,0.0,2019/01/13 22:40:00,lower_60s,0.11
7,NSW1,0.0,2019/01/13 22:40:00,lower_6s,0.03
8,NSW1,3.949999999254942,2019/01/13 22:40:00,lower_reg,14.0
9,NSW1,3.7299999985843897,2019/01/13 22:40:00,raise_5min,3.73
10,NSW1,1.0,2019/01/13 22:40:00,raise_60s,1.49
11,NSW1,1.25,2019/01/13 22:40:00,raise_6s,1.25
12,NSW1,3.7299999985843897,2019/01/13 22:40:00,raise_reg,3.73
13,QLD1,0.0,2019/01/13 22:40:00,lower_5min,0.44
14,QLD1,0.0,2019/01/13 22:40:00,lower_60s,0.11
15,QLD1,0.0,2019/01/13 22:40:00,lower_6s,0.03
16,QLD1,3.949999999254942,2019/01/13 22:40:00,lower_reg,14.0
17,QLD1,3.7299999985843897,2019/01/13 22:40:00,raise_5min,3.73
18,QLD1,1.0,2019/01/13 22:40:00,raise_60s,1.49
19,QLD1,1.25,2019/01/13 22:40:00,raise_6s,1.25
20,QLD1,3.7299999985843897,2019/01/13 22:40:00,raise_reg,3.73
21,SA1,0.0,2019/01/13 22:40:00,lower_5min,0.44
22,SA1,0.0,2019/01/13 22:40:00,lower_60s,0.11
23,SA1,0.0,2019/01/13 22:40:00,lower_6s,0.03
24,SA1,3.949999999254942,2019/01/13 22:40:00,lower_reg,14.0
25,SA1,3.7299999985843897,2019/01/13 22:40:00,raise_5min,3.73
26,SA1,1.0,2019/01/13 22:40:00,raise_60s,1.49
27,SA1,1.25,2019/01/13 22:40:00,raise_6s,1.25
28,SA1,3.7299999985843897,2019/01/13 22:40:00,raise_reg,3.73
29,TAS1,0.0,2019/01/13 22:40:00,lower_5min,0.0
30,TAS1,0.0,2019/01/13 22:40:00,lower_60s,0.0
31,TAS1,0.0,2019/01/13 22:40:00,lower_6s,0.0
32,TAS1,3.949999999254942,2019/01/13 22:40:00,lower_reg,0.0
33,TAS1,3.7299999985843897,2019/01/13 22:40:00,raise_5min,3.73
34,TAS1,1.0,2019/01/13 22:40:00,raise_60s,1.8
35,TAS1,1.4413043465465307,2019/01/13 22:40:00,raise_6s,2.0
36,TAS1,3.7299999985843897,2019/01/13 22:40:00,raise_reg,14.85
37,VIC1,0.0,2019/01/13 22:40:00,lower_5min,0.44
38,VIC1,0.0,2019/01/13 22:40:00,lower_60s,0.11
39,VIC1,0.0,2019/01/13 22:40:00,lower_6s,0.03
40,VIC1,3.949999999254942,2019/01/13 22:40:00,lower_reg,14.0
41,VIC1,3.7299999985843897,2019/01/13 22:40:00,raise_5min,3.73
42,VIC1,1.0,2019/01/13 22:40:00,raise_60s,1.49
43,VIC1,1.25,2019/01/13 22:40:00,raise_6s,1.25
44,VIC1,3.7299999985843897,2019/01/13 22:40:00,raise_reg,3.73
0,NSW1,67.38996431045234,2019/01/07 08:10:00,energy,66.2122
1,QLD1,65.5,2019/01/07 08:10:00,energy,64.78003000000001
2,SA1,80.27517329715192,2019/01/07 08:10:00,energy,77.12553
3,TAS1,110.37999999895692,2019/01/07 08:10:00,energy,111.86
4,VIC1,74.2471306733787,2019/01/07 08:10:00,energy,72.4846
5,NSW1,0.05999999865889549,2019/01/07 08:10:00,lower_5min,0.19
6,NSW1,0.0,2019/01/07 08:10:00,lower_60s,0.08
7,NSW1,0.0,2019/01/07 08:10:00,lower_6s,0.03
8,NSW1,24.790000000968575,2019/01/07 08:10:00,lower_reg,24.98
9,NSW1,12.0,2019/01/07 08:10:00,raise_5min,11.82245
10,NSW1,2.3700000010430813,2019/01/07 08:10:00,raise_60s,2.37
11,NSW1,1.5,2019/01/07 08:10:00,raise_6s,1.5
12,NSW1,12.0,2019/01/07 08:10:00,raise_reg,14.0
13,QLD1,0.05999999865889549,2019/01/07 08:10:00,lower_5min,0.19
14,QLD1,0.0,2019/01/07 08:10:00,lower_60s,0.08
15,QLD1,0.0,2019/01/07 08:10:00,lower_6s,0.03
16,QLD1,24.790000000968575,2019/01/07 08:10:00,lower_reg,24.98
17,QLD1,12.0,2019/01/07 08:10:00,raise_5min,11.82245
18,QLD1,2.3700000010430813,2019/01/07 08:10:00,raise_60s,2.37
19,QLD1,1.5,2019/01/07 08:10:00,raise_6s,1.5
20,QLD1,12.0,2019/01/07 08:10:00,raise_reg,14.0
21,SA1,0.05999999865889549,2019/01/07 08:10:00,lower_5min,0.19
