,region,price,time,SETTLEMENTDATE,REGIONID,RRP
4,VIC1,51.640988010913134,2020/01/02 03:30:00,2020/01/02 03:30:00,VIC1,50.25725
0,NSW1,46.57000000029802,2020/01/02 03:35:00,2020/01/02 03:35:00,NSW1,48.5
1,QLD1,47.90895786695182,2020/01/02 03:35:00,2020/01/02 03:35:00,QLD1,51.40767
2,SA1,-59.31810881756246,2020/01/02 03:35:00,2020/01/02 03:35:00,SA1,51.52942
3,TAS1,68.54000000096858,2020/01/02 03:35:00,2020/01/02 03:35:00,TAS1,70.46
4,VIC1,49.84870898909867,2020/01/02 03:35:00,2020/01/02 03:35:00,VIC1,50.272529999999996
0,NSW1,47.84999999962747,2020/01/02 03:40:00,2020/01/02 03:40:00,NSW1,48.52
1,QLD1,49.554826121777296,2020/01/02 03:40:00,2020/01/02 03:40:00,QLD1,51.77257
2,SA1,54.05584947951138,2020/01/02 03:40:00,2020/01/02 03:40:00,SA1,52.20697
3,TAS1,57.40822132304311,2020/01/02 03:40:00,2020/01/02 03:40:00,TAS1,70.46
4,VIC1,51.19547662883997,2020/01/02 03:40:00,2020/01/02 03:40:00,VIC1,50.72213
0,NSW1,48.20999999716878,2020/01/02 03:45:00,2020/01/02 03:45:00,NSW1,48.52
1,QLD1,49.60512983053923,2020/01/02 03:45:00,2020/01/02 03:45:00,QLD1,51.41961
2,SA1,54.71537232771516,2020/01/02 03:45:00,2020/01/02 03:45:00,SA1,52.219840000000005
3,TAS1,58.463283609598875,2020/01/02 03:45:00,2020/01/02 03:45:00,TAS1,70.46
4,VIC1,51.978381264954805,2020/01/02 03:45:00,2020/01/02 03:45:00,VIC1,50.73675
0,NSW1,47.84999999962747,2020/01/02 03:50:00,2020/01/02 03:50:00,NSW1,48.52
1,QLD1,49.495803106576204,2020/01/02 03:50:00,2020/01/02 03:50:00,QLD1,51.77636
2,SA1,54.05665085092187,2020/01/02 03:50:00,2020/01/02 03:50:00,SA1,51.812909999999995
3,TAS1,57.96434487774968,2020/01/02 03:50:00,2020/01/02 03:50:00,TAS1,70.46
4,VIC1,51.53478613682091,2020/01/02 03:50:00,2020/01/02 03:50:00,VIC1,50.79183
0,NSW1,47.84999999962747,2020/01/02 03:55:00,2020/01/02 03:55:00,NSW1,48.84
1,QLD1,49.54374654404819,2020/01/02 03:55:00,2020/01/02 03:55:00,QLD1,52.12555
2,SA1,54.381443437188864,2020/01/02 03:55:00,2020/01/02 03:55:00,SA1,52.6835
3,TAS1,57.76949065364897,2020/01/02 03:55:00,2020/01/02 03:55:00,TAS1,70.46
4,VIC1,51.673752784729004,2020/01/02 03:55:00,2020/01/02 03:55:00,VIC1,51.39958
0,NSW1,48.21000000089407,2020/01/02 04:00:00,2020/01/02 04:00:00,NSW1,48.84
1,QLD1,49.91934634000063,2020/01/02 04:00:00,2020/01/02 04:00:00,QLD1,52.1226
2,SA1,54.78329107351601,2020/01/02 04:00:00,2020/01/02 04:00:00,SA1,52.652390000000004
3,TAS1,58.59835819154978,2020/01/02 04:00:00,2020/01/02 04:00:00,TAS1,70.46
4,VIC1,52.09847301617265,2020/01/02 04:00:00,2020/01/02 04:00:00,VIC1,51.36377
0,NSW1,47.850000001490116,2020/01/02 04:05:00,2020/01/02 04:05:00,NSW1,48.65
1,QLD1,49.54565645381808,2020/01/02 04:05:00,2020/01/02 04:05:00,QLD1,51.920790000000004
2,SA1,54.8615781404078,2020/01/02 04:05:00,2020/01/02 04:05:00,SA1,52.66405
3,TAS1,58.47096462920308,2020/01/02 04:05:00,2020/01/02 04:05:00,TAS1,89.69118
4,VIC1,52.14320935681462,2020/01/02 04:05:00,2020/01/02 04:05:00,VIC1,51.14382
0,NSW1,47.90000000037253,2020/01/02 04:10:00,2020/01/02 04:10:00,NSW1,48.65
1,QLD1,49.270544638857245,2020/01/02 04:10:00,2020/01/02 04:10:00,QLD1,51.916470000000004
2,SA1,56.605132626369596,2020/01/02 04:10:00,2020/01/02 04:10:00,SA1,53.9513
3,TAS1,59.68045758269727,2020/01/02 04:10:00,2020/01/02 04:10:00,TAS1,107.53493999999999
4,VIC1,53.06054307334125,2020/01/02 04:10:00,2020/01/02 04:10:00,VIC1,51.9486
0,NSW1,47.899999998509884,2020/01/02 04:15:00,2020/01/02 04:15:00,NSW1,50.91711
1,QLD1,48.9524980802089,2020/01/02 04:15:00,2020/01/02 04:15:00,QLD1,53.25424
2,SA1,57.57945016771555,2020/01/02 04:15:00,2020/01/02 04:15:00,SA1,58.389219999999995
3,TAS1,60.33832934498787,2020/01/02 04:15:00,2020/01/02 04:15:00,TAS1,107.43494
4,VIC1,344.6297195982188,2020/01/02 04:15:00,2020/01/02 04:15:00,VIC1,55.248630000000006
0,NSW1,47.899999998509884,2020/01/02 04:20:00,2020/01/02 04:20:00,NSW1,52.90521
1,QLD1,49.25591668859124,2020/01/02 04:20:00,2020/01/02 04:20:00,QLD1,55.730219999999996
2,SA1,58.41093850880861,2020/01/02 04:20:00,2020/01/02 04:20:00,SA1,61.867580000000004
3,TAS1,60.46466349624097,2020/01/02 04:20:00,2020/01/02 04:20:00,TAS1,107.43494
4,VIC1,53.75620763748884,2020/01/02 04:20:00,2020/01/02 04:20:00,VIC1,58.045719999999996
0,NSW1,47.84999999962747,2020/01/02 04:25:00,2020/01/02 04:25:00,NSW1,48.65
1,QLD1,48.88949370570481,2020/01/02 04:25:00,2020/01/02 04:25:00,QLD1,51.23418
2,SA1,58.13786012120545,2020/01/02 04:25:00,2020/01/02 04:25:00,SA1,55.89564
3,TAS1,60.62360146641731,2020/01/02 04:25:00,2020/01/02 04:25:00,TAS1,107.43494
4,VIC1,53.74220426008105,2020/01/02 04:25:00,2020/01/02 04:25:00,VIC1,52.90566
0,NSW1,47.899999998509884,2020/01/02 04:30:00,2020/01/02 04:30:00,NSW1,57.5
1,QLD1,48.936282662674785,2020/01/02 04:30:00,2020/01/02 04:30:00,QLD1,60.15906999999999
2,SA1,58.959276750683784,2020/01/02 04:30:00,2020/01/02 04:30:00,SA1,67.13195
3,TAS1,61.03092203848064,2020/01/02 04:30:00,2020/01/02 04:30:00,TAS1,103.52646999999999
4,VIC1,54.261210434138775,2020/01/02 04:30:00,2020/01/02 04:30:00,VIC1,62.9976
0,NSW1,55.080000000074506,2020/01/02 04:35:00,2020/01/02 04:35:00,NSW1,59.77994
1,QLD1,55.521120293065906,2020/01/02 04:35:00,2020/01/02 04:35:00,QLD1,62.51578000000001
